Dataset,Method,Metric,Scaler,Cophenet,vanDongen,adjRand
audio_analysis,average,mahalanobis,standard,0.6601238715086116,0.9965714285714286,-8.593594488393384e-05
audio_analysis,single,matching,minMax,0.002644566185590461,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,matching,standard,0.002761669156167428,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,matching,minMax,0.002644566185590461,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,matching,standard,0.002761669156167428,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,matching,minMax,0.002644566185590461,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,matching,standard,0.002761669156167428,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,minkowski,minMax,0.7141868087216681,0.9982817869415808,-2.0355427958589123e-05
audio_analysis,single,minkowski,standard,0.7271960631262097,0.9982817869415808,-2.0355427958589123e-05
audio_analysis,complete,minkowski,minMax,0.4977135473683846,0.690537084398977,0.15909955697471792
audio_analysis,complete,minkowski,standard,0.3070158264358501,0.690537084398977,0.15909955697471792
audio_analysis,average,minkowski,minMax,0.7473026256303339,0.8792096991468343,0.0460086773581541
audio_analysis,average,minkowski,standard,0.7402721117410819,0.8792096991468343,0.0460086773581541
audio_analysis,single,rogerstanimoto,minMax,0.2635937423448886,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,rogerstanimoto,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,rogerstanimoto,minMax,0.26562150848654187,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,rogerstanimoto,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,rogerstanimoto,minMax,0.26362504766505296,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,rogerstanimoto,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,russellrao,minMax,0.26168116945939174,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,russellrao,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,russellrao,minMax,0.26259933184409306,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,russellrao,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,russellrao,minMax,0.2617110836995708,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,russellrao,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,seuclidean,minMax,0.6995829674974188,0.9982817869415808,-2.0355427958589123e-05
audio_analysis,single,seuclidean,standard,0.7271960631262093,0.9982817869415808,-2.0355427958589123e-05
audio_analysis,complete,seuclidean,minMax,0.29640977417083214,0.8261510128913444,0.08408001409518981
